date,casos_total,fallecidos total,ccaa_text,cod_ccaa
19/03/2020,801,42,Castilla-La Mancha,8
19/03/2020,868,29,Castilla y León,7
19/03/2020,2702,55,Cataluña,9
19/03/2020,1,0,Ceuta,18
19/03/2020,921,24,C. Valenciana,10
19/03/2020,241,8,Extremadura,11
19/03/2020,453,4,Galicia,12
19/03/2020,6777,498,Madrid,13
19/03/2020,23,0,Melilla,19
19/03/2020,167,0,Murcia,14
19/03/2020,482,4,Navarra,15
19/03/2020,1190,53,País Vasco,16
19/03/2020,468,5,La Rioja,17
19/03/2020,17147,767,Total,0
20/03/2020,1287,30,Andalucía,1
20/03/2020,360,17,Aragón,2
20/03/2020,344,2,Asturias,3
20/03/2020,203,2,Baleares,4
20/03/2020,287,4,Canarias,5
20/03/2020,144,1,Cantabria,6
20/03/2020,1044,42,Castilla-La Mancha,8
20/03/2020,1147,43,Castilla y León,7
20/03/2020,3270,82,Cataluña,9
20/03/2020,5,0,Ceuta,18
20/03/2020,1105,33,C. Valenciana,10
20/03/2020,297,10,Extremadura,11
20/03/2020,578,5,Galicia,12
20/03/2020,7165,628,Madrid,13
20/03/2020,24,0,Melilla,19
20/03/2020,204,0,Murcia,14
20/03/2020,554,5,Navarra,15
20/03/2020,1465,71,País Vasco,16
20/03/2020,497,7,La Rioja,17
20/03/2020,19980,1002,Total,0
21/03/2020,1515,40,Andalucía,1
21/03/2020,424,22,Aragón,2
21/03/2020,486,5,Asturias,3
21/03/2020,246,4,Baleares,4
21/03/2020,348,7,Canarias,5
21/03/2020,215,2,Cantabria,6
21/03/2020,1423,84,Castilla-La Mancha,8
21/03/2020,1466,55,Castilla y León,7
21/03/2020,4203,122,Cataluña,9
21/03/2020,5,0,Ceuta,18
21/03/2020,1363,50,C. Valenciana,10
21/03/2020,354,12,Extremadura,11
21/03/2020,739,9,Galicia,12
21/03/2020,8921,804,Madrid,13
21/03/2020,25,0,Melilla,19
21/03/2020,240,1,Murcia,14
21/03/2020,664,9,Navarra,15
21/03/2020,1725,85,País Vasco,16
21/03/2020,564,15,La Rioja,17
21/03/2020,24926,1326,Total,0
22/03/2020,1725,47,Andalucía,1
22/03/2020,532,24,Aragón,2
22/03/2020,545,8,Asturias,3
22/03/2020,331,4,Baleares,4
22/03/2020,414,9,Canarias,5
22/03/2020,282,5,Cantabria,6
22/03/2020,1819,112,Castilla-La Mancha,8
